Oligo_Number,K562_Rep_1_Normalized_Edit_Score,K562_Rep_3_Normalized_Edit_Score,K562_Rep_2_Normalized_Edit_Score,K562_Rep_4_Normalized_Edit_Score,HEK293T_Rep_4_Normalized_Edit_Score,HEK293T_Rep_3_Normalized_Edit_Score,HEK293T_Rep_2_Normalized_Edit_Score,HEK293T_Rep_1_Normalized_Edit_Score,iPSC_Rep_1_Normalized_Edit_Score,iPSC_Rep_2_Normalized_Edit_Score,iPSC_Rep_4_Normalized_Edit_Score,iPSC_Rep_3_Normalized_Edit_Score
235,NA,NA,4.482127116,NA,2.821377194,3.122570384,0.087073661,2.964235216,4.961211439,2.561526325,1.334350202,8.613202315
100,0.077394261,0.042865614,0.318674312,NA,0.094802606,0.04391133,0.035597339,1.556250914,NA,0.099733315,0.02948688,0.055892667
243,7.237373743,9.291212457,32.66181757,26.18533763,20.86178753,18.77934735,16.11499623,8.84775536,23.67208407,6.917570169,22.20535385,16.19928992
84,NA,0.041491243,NA,0.046089003,1.582911983,0.321811692,0.310104051,0.024694326,1.510158425,2.702997733,6.821409533,3.949345101
159,0.083159671,NA,0.042801705,6.344181574,1.663792262,0.357238638,0.076498256,0.082238474,NA,NA,NA,NA
111,NA,NA,0.11936488,0.047560691,0.086802045,0.281961174,0.035556236,0.15289711,0.077918999,NA,0.088358498,NA
116,1.941351042,0.086018993,0.51958395,NA,0.007926735,0.402822606,NA,0.025597944,NA,NA,NA,NA
222,NA,18.00473386,1.941223066,0.165744931,1.640820759,4.374436433,0.061955217,14.00167551,6.335957327,0.231440487,1.608036011,1.751006178
90,0.03687583,NA,NA,0.045374616,0.045170336,0.173356286,0.033921932,5.421477874,NA,NA,0.028099065,0.053262049
290,5.683232143,0.055711807,NA,0.061885386,1.119189726,1.70397426,3.978818948,0.132631892,3.852715199,3.110926048,2.376067137,6.828430189
96,NA,NA,0.03811739,0.045563388,0.037798548,0.744331382,0.017031529,0.170888924,NA,NA,2.031549532,NA
145,0.402075771,0.089077535,0.124167365,0.049474232,0.041042913,0.501878302,0.036986793,NA,1.377917392,0.207252316,0.030637828,0.464594386
124,0.547298041,NA,0.201207502,0.04810243,0.079809782,0.55133416,2.283538598,NA,1.497324103,NA,0.744707851,0.112928074
264,0.237987458,4.534326673,0.146988591,0.52710572,0.233214512,4.891849804,7.224483157,3.138015514,12.76150994,1.104048285,2.284939367,3.093660458
278,10.27311182,20.06285753,0.100236954,0.239635252,3.140992556,5.524810566,4.92664216,5.809906677,1.177788103,NA,3.598664504,0.632904432
176,7.213568698,0.091321368,1.95185819,0.050720471,7.767371708,8.773575969,7.147633105,1.983837087,2.575966283,3.930749253,5.276810169,2.857784184
310,3.033452553,7.517776586,6.139337239,0.126527913,3.71576912,2.700411796,0.023647976,2.982901334,6.218745763,4.240300803,0.861902105,1.188177284
269,34.08692754,24.8023469,35.03946622,23.08624768,17.39755148,24.17689154,31.88343026,23.291228,20.40289824,14.02671555,25.68292079,23.51365231
171,0.081029917,0.08975852,NA,6.929491291,1.662538534,1.221597496,0.037269552,0.026710771,NA,3.759061163,0.277848447,NA
190,0.04168178,9.511385073,0.042906645,0.051288194,8.952045055,5.608208339,6.805865877,3.077763885,5.881805406,3.652470065,3.906622367,3.853029168
18,30.10339897,16.72589839,33.60580517,18.5793416,31.85153551,39.15296318,56.56829163,31.64561383,32.16885696,24.74195379,34.97702073,36.22585348
181,0.041032218,0.136356718,3.632467629,11.81440916,19.2753325,16.76198036,7.265985097,13.47179171,7.030889589,15.65122027,9.911384473,13.69030245
76,0.034984253,0.077505566,0.216073826,0.086094172,0.17141314,0.073725164,0.241364082,0.069193433,0.63471896,NA,0.239919297,0.90953869
120,0.873706537,0.042079255,0.469242458,NA,0.007755289,0.246318784,0.017472157,0.050088585,0.076578015,NA,NA,0.164601986
227,4.958026798,11.17862922,3.568090192,12.25539852,6.333008988,2.788150963,8.354867088,2.516637712,3.714890984,2.713958241,3.243039409,3.929146151
268,14.40286863,0.156415258,4.796683614,8.62948734,13.38563423,4.082076565,4.78441259,6.082115534,6.831662866,3.154005264,7.818692482,4.622879286
308,34.54682065,35.23819411,36.76132309,53.91516924,35.9367488,31.90175131,26.58386563,39.57428549,17.2574559,31.07149578,33.77394793,15.65718026
