Oligo_Number,K562_Rep_1_Normalized_Edit_Score,K562_Rep_4_Normalized_Edit_Score,K562_Rep_2_Normalized_Edit_Score,K562_Rep_3_Normalized_Edit_Score,HEK293T_Rep_4_Normalized_Edit_Score,HEK293T_Rep_3_Normalized_Edit_Score,HEK293T_Rep_2_Normalized_Edit_Score,HEK293T_Rep_1_Normalized_Edit_Score,iPSC_Rep_4_Normalized_Edit_Score,iPSC_Rep_3_Normalized_Edit_Score,iPSC_Rep_2_Normalized_Edit_Score,iPSC_Rep_1_Normalized_Edit_Score
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,9.777842872,0.045714103,3.164539065,8.70920151,4.331732102,0.233954163,3.787407205,4.96416408,4.70061716,3.8961704,8.95610389,6.112680196
238,0.018760566,NA,5.46259643,0.063741264,5.987526474,0.212321903,9.470455229,13.26217561,1.680537908,2.085793254,1.884751223,1.47238728
264,2.094179006,NA,0.015300896,0.065881698,0.020836996,0.360527761,6.160892197,3.422204855,2.115540917,2.402215333,1.923690728,2.013734782
51,0.010560175,NA,0.074996406,0.017939729,1.095074084,0.04268369,0.048981729,0.147673984,0.109149415,0.089453459,0.384580478,0.025115007
201,1.695230994,7.872568883,0.013376907,0.057597499,0.072867512,0.068520373,3.066595423,0.940073036,0.778747479,1.310351382,0.063865785,0.053756354
18,20.8949549,23.06083544,18.53909218,29.58265128,11.65078052,14.15214395,11.14742358,20.00223546,25.65794212,18.99562684,24.04419113,22.10869217
185,2.019125723,NA,1.786007568,NA,0.183728293,0.11846908,0.125879039,0.13348285,1.234222304,1.844851787,2.126635847,2.710827615
3,5.532671624,10.07346504,5.04975064,22.99611358,6.777738535,11.25593097,11.5480964,5.433625745,4.468933308,6.170732917,5.905707521,8.216576166
233,13.66889021,4.903819906,13.36970809,3.119657112,8.135471988,11.37190206,16.52658621,7.952946706,6.227423021,3.925600067,7.201158338,3.982861274
132,NA,NA,0.010621134,0.045731853,1.055873718,0.043523607,0.093647957,0.038943069,0.015457948,0.370555642,NA,0.032011516
17,50.94710672,42.4185017,59.79411266,59.83695318,35.43921969,34.36654729,29.75733668,33.59441068,53.0003051,49.38461441,52.94348264,45.21393386
59,1.070379067,0.132731307,0.047362203,0.016994116,0.080623223,0.428598383,0.28613257,0.091652075,0.356142089,0.275399536,0.314059513,0.539266786
171,0.015003846,0.09953874,0.130233316,0.050977359,0.145107603,0.097031649,2.644534171,0.101289751,0.516929869,1.795217466,2.110273433,2.842768046
276,NA,NA,0.013873379,0.089602767,0.18892981,0.099488823,0.23105538,0.076301452,0.302868746,0.204778395,NA,NA
212,4.264879062,5.067604453,8.086947282,3.054886752,0.196659455,0.218696422,2.534258365,4.036384617,9.284177117,8.206102074,10.11208142,6.030325475
234,3.48798568,28.01546582,5.348880144,7.630381014,6.895225985,10.28108987,15.17368338,6.362797069,5.460651408,4.477215336,6.838879325,3.599886799
293,0.088584994,4.583996839,0.083881894,NA,0.304617749,0.057288965,6.50572211,0.111062739,1.932954097,0.300155404,1.312684277,0.674174504
22,0.06023673,NA,0.041590703,0.012791343,0.064730126,0.066955293,0.069849675,0.101663324,0.069178185,0.087700105,0.094556092,0.596914777
134,NA,NA,0.010290624,1.838813705,0.014013931,0.031626926,NA,0.006288539,0.23963081,0.787092506,0.229277293,0.010338459
277,4.3669662,5.0352356,1.823527989,2.222706797,0.246504891,9.258218649,3.178877665,2.236887929,5.288393665,1.313425955,1.579052397,2.774948053
228,2.032772791,0.245835841,2.318341535,0.053957722,0.07679562,0.051352275,4.923058356,0.926614542,3.228196141,1.647938394,1.47580407,4.242772059
174,1.690908582,1.853662016,0.045616407,1.39943866,0.09318169,0.058415097,0.078206716,2.202197275,1.261408163,0.367266685,0.05444696,0.034371339
20,0.014362647,NA,NA,0.012199702,0.559483846,0.023221234,0.088825202,0.533285865,0.272161192,0.266139019,0.982989983,0.347276379
49,1.99526732,NA,0.028241193,1.915188462,1.971038705,0.079562742,1.632375136,2.838945084,0.030826574,0.180005533,0.573039444,0.035465588
248,1.676595894,0.035650313,2.353388384,4.436646419,4.997881348,3.049521825,4.773155409,4.10453396,3.202941012,5.394089756,2.186436803,2.134285236
301,5.709195375,NA,1.574721169,2.918494956,3.682910562,2.903823277,3.407410566,1.832559119,2.09255116,0.734979161,5.556960403,2.311155777
36,2.033420563,0.018059102,0.019331962,0.013873071,0.039489846,0.052812738,0.044191388,0.007875765,0.825312294,1.712099819,1.722880915,1.042304637
