"","Oligo_Number","K562_Rep_1_Normalized_Edit_Score","K562_Rep_4_Normalized_Edit_Score","K562_Rep_2_Normalized_Edit_Score","K562_Rep_3_Normalized_Edit_Score","HEK293T_Rep_4_Normalized_Edit_Score","HEK293T_Rep_3_Normalized_Edit_Score","HEK293T_Rep_2_Normalized_Edit_Score","HEK293T_Rep_1_Normalized_Edit_Score","iPSC_Rep_4_Normalized_Edit_Score","iPSC_Rep_3_Normalized_Edit_Score","iPSC_Rep_2_Normalized_Edit_Score","iPSC_Rep_1_Normalized_Edit_Score"
"1",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",209,22.2727816861331,44.6484183898309,22.5829273760615,33.3417075789476,11.2430338200313,12.1420461974024,7.44414577522257,17.191289032809,24.256359525002,23.2982306651437,22.492931900264,26.0289293877093
"4",246,NA,6.78353346849886,0.0195205843657479,5.37923739904804,5.0508522253383,4.65953680832152,0.382479122057605,0.214720432486967,5.45475191379893,3.56238564259106,1.89502064563008,0.941343576952867
"5",129,0.191138966589145,NA,0.0452477831547147,0.0324708740262508,0.0821588383297551,0.139063313260526,0.118209114042952,0.202771440395693,0.526827277840567,0.323821174269448,0.648083720296117,0.015152704834117
"6",285,42.8178268082256,27.2784097773715,59.1508943800589,30.3449996139124,30.3474273015947,29.3399706569013,34.6960702737007,22.591724674427,21.7399271547309,21.199513208702,29.5811312141441,20.4041300532309
"7",309,2.28365710321915,0.0543020513429728,2.22829458042603,0.0417150425288762,1.31935909404458,0.397007554262628,2.08810518819789,4.09693351298975,15.3128332531684,6.96817046753317,14.4931877380409,10.9207316786797
"8",34,0.0301501047243771,0.133348185693995,0.11895580695423,0.0682923892044746,0.599384652456777,0.10561649527346,0.26415463110992,0.0823856103282573,0.311629894508133,0.234113403183832,0.340760658519426,0.207148526361516
"9",227,1.33421473451236,0.0867790928675932,4.39705581007701,5.63311048800464,7.49551521250394,6.89964754427905,0.318528177180993,6.32016118016955,6.12905476733422,2.51384338479472,2.90748137619403,1.10437380879113
"10",273,9.77784287173036,0.0457141031307102,3.16453906520723,8.70920151003503,4.3317321018234,0.233954163448137,3.78740720466461,4.96416407965278,4.70061716047135,3.89617039967618,8.95610389006808,6.11268019590109
"11",238,0.0187605658072449,NA,5.4625964304635,0.0637412642601191,5.98752647392218,0.212321902685348,9.47045522946752,13.2621756121664,1.68053790767477,2.08579325358592,1.88475122269881,1.47238727957113
"12",264,2.09417900569393,NA,0.0153008960288344,0.0658816984348911,0.0208369961269982,0.360527760944129,6.1608921970072,3.42220485518812,2.11554091695452,2.40221533336515,1.92369072775626,2.01373478229563
"13",51,0.0105601751827949,NA,0.0749964057994508,0.0179397285741708,1.0950740842154,0.0426836899449206,0.0489817294233288,0.147673984285949,0.109149414514008,0.0894534586329073,0.384580478191127,0.0251150072217479
"14",201,1.69523099408498,7.87256888269519,0.0133769068279325,0.0575974988633799,0.0728675118737027,0.0685203728953592,3.06659542344167,0.940073036196303,0.778747478742751,1.31035138235985,0.0638657847866865,0.0537563540023353
"15",18,20.894954900306,23.0608354353149,18.5390921846875,29.5826512790678,11.6507805215771,14.1521439462871,11.1474235780428,20.0022354584555,25.6579421174044,18.9956268448764,24.0441911327799,22.1086921706908
"16",185,2.01912572337742,NA,1.78600756826841,NA,0.183728293236682,0.118469079867194,0.125879038873006,0.133482849667033,1.23422230368485,1.8448517870112,2.12663584742479,2.71082761508159
"17",3,5.53267162402592,10.0734650439139,5.04975063960505,22.9961135814853,6.77773853528821,11.2559309695645,11.548096400234,5.43362574484255,4.46893330768073,6.17073291728979,5.9057075210419,8.216576165525
"18",233,13.6688902107069,4.90381990564877,13.3697080850026,3.11965711225547,8.13547198800499,11.3719020600074,16.5265862124854,7.95294670588027,6.2274230214911,3.92560006744224,7.20115833831752,3.98286127350042
"19",132,NA,NA,0.0106211336235647,0.0457318526382849,1.05587371762991,0.0435236065149794,0.0936479566578206,0.0389430692309828,0.015457947672682,0.370555641536954,NA,0.0320115157965127
"20",17,50.947106716161,42.4185016985042,59.7941126559446,59.836953177065,35.4392196948066,34.3665472890345,29.7573366753872,33.5944106796686,53.0003050982345,49.3846144108358,52.9434826406176,45.2139338621192
"21",59,1.0703790671106,0.132731306858331,0.0473622033423235,0.0169941158561932,0.0806232234496529,0.428598383325864,0.286132569815313,0.0916520750885987,0.356142088863769,0.275399536216173,0.314059512805717,0.539266785577448
"22",171,0.0150038458764549,0.0995387401311384,0.130233315669267,0.0509773593587398,0.145107603216267,0.0970316487045211,2.64453417104607,0.101289750588463,0.516929869225908,1.79521746565416,2.11027343268492,2.84276804609158
"23",276,NA,NA,0.013873378667239,0.0896027671751053,0.188929809739817,0.0994888226819274,0.231055380014119,0.0763014521407463,0.302868746052233,0.204778394805161,NA,NA
"24",212,4.26487906216256,5.0676044531428,8.08694728180075,3.05488675229695,0.196659455284479,0.218696421750147,2.53425836475062,4.03638461732633,9.28417711711112,8.20610207393806,10.1120814197019,6.03032547539044
"25",234,3.48798567970941,28.0154658198549,5.3488801438192,7.63038101446297,6.89522598506148,10.2810898739523,15.1736833822871,6.36279706884385,5.46065140762567,4.47721533574208,6.83887932530714,3.59988679867894
"26",293,0.0885849942936644,4.58399683875393,0.0838818935581502,NA,0.304617749252968,0.0572889652264664,6.50572211008756,0.111062739392669,1.9329540971487,0.300155404067732,1.31268427660551,0.674174504240764
"27",22,0.0602367299333297,NA,0.0415907027364056,0.012791343023364,0.0647301259970637,0.0669552930039234,0.0698496747418442,0.101663323548036,0.0691781853431254,0.0877001048396558,0.0945560920507546,0.596914776942196
"28",134,NA,NA,0.010290624057192,1.83881370522049,0.0140139305057705,0.0316269257218292,NA,0.00628853910973807,0.239630809792113,0.787092505540377,0.229277292510046,0.0103384593471236
"29",277,4.3669662002427,5.03523559978655,1.82352798946921,2.22270679694412,0.246504891033695,9.2582186485682,3.17887766493615,2.23688792948737,5.28839366538982,1.31342595539318,1.57905239749504,2.77494805253768
"30",228,2.03277279137186,0.245835840962056,2.31834153454426,0.0539577224970911,0.0767956195167156,0.0513522752070146,4.92305835640395,0.926614541742631,3.22819614102405,1.64793839404273,1.47580406952344,4.24277205945178
"31",174,1.69090858189996,1.85366201558901,0.0456164071239427,1.3994386604311,0.0931816898282895,0.0584150967500267,0.0782067157602711,2.20219727524581,1.2614081629376,0.367266685289538,0.0544469599286631,0.0343713389969137
