hRNU61p_Percent_Seq_Identity
100
58.61
55.56
56.22
49.38
50.67
51.58
50.23
55.5
53
52.8
54.5
53.92
53.67
54.3
53.05
49.08
52.56
51.35
52.94
49.77
50.44
52.8
51.4
52
50.46
51.38
52.05
51.15
49.76
47.66
51.09
46.55
51.39
51.64
51.17
56.94
48.84
54.67
49.06
55.92
52.43
51.61
51.16
48.64
47.53
53.55
53.88
50.51
49.01
55.94
50.23
50.48
48.8
51.71
51.18
50.5
50.75
55.28
54.21
53.09
56.8
49.5
48.99
51.02
53.73
46
48.78
50.25
53.2
49.51
51.16
52.53
55.29
53.2
46.23
47.79
47.98
46.43
53.18
48.9
54.19
50
52.74
50.49
49.02
49.75
51.96
49.76
50.93
43.84
47.95
53.69
46.05
53.15
48.64
51.72
53.61
52.76
53.3
55.56
51.47
52.36
54.81
51.78
50.7
52.48
48
52.66
50.49
53.92
50.47
50.71
41.63
46.29
41.33
40.89
40.18
38.54
38.97
41.58
48.86
52
51.18
45.14
54.5
49
40.22
44.58
32.79
35.12
40.91
40.43
39.57
40.68
39.15
37.04
36.9
44.19
39.89
42.5
41.67
39.3
41.05
42.54
41.8
46.81
39.46
39
37.31
42.13
41.36
38.64
39.2
41.4
40.72
38.17
39.3
40.1
45.57
46.59
41.42
44.1
43.65
44.04
39.01
37.24
42.15
30.63
33.33
42.31
33.03
38.74
34.93
40.44
41.15
37.07
40.79
40.83
28.27
31.11
38.74
39.15
41.48
38.37
45.81
35.57
35.56
34.36
41.56
38.01
33.01
32.84
31.34
37.68
37.73
31.63
26.4
25
29.69
29.17
24.49
38.21
33.01
32.47
36.41
39.41
40.11
31.09
