Replicate,Edit_Efficiency,Library
4,27.17955256912464,TopU6
3,30.597415133801686,TopU6
2,30.496045543471205,TopU6
1,29.199042096520454,TopU6
3,19.476943443406633,SubU6
4,19.210988132677706,SubU6
1,19.276637376378105,SubU6
2,20.15373891445298,SubU6
