	Read_ID	Success_Count
88	41a71292-1adc-4636-8378-6ab08711bb2f	0
89	42776f42-4436-402e-bc61-422c689747cd	0
90	4334f190-97a3-42ed-9b34-9f106035705b	1
91	438c1c5a-7b21-4d67-b17a-915d78d4607a	8
92	43cd9982-9fd8-45af-a7a8-69ec4c8273ae	0
93	441f7c6b-fd56-445e-9777-86e51c94f342	5
94	442230f6-578b-4d9f-8fe2-94d2abb05fb6	0
95	44e863ac-407d-4ccc-86bf-c602ec80290a	0
96	45b39ef1-d83d-497a-879a-330bb29bd38e	3
97	45e1b3b8-c798-4f3c-8359-df1f42d1e6a6	2
98	46663792-b000-4068-aab2-269012951cd7	0
99	46c0dd54-1cd1-4920-bf5a-b6eee62cba5b	0
100	4891d265-18ed-4358-81a5-28aafdaca3e1	2
101	494329e8-f95a-4a2c-bf53-9f04e1f25af4	0
102	4a1079d6-e567-4d90-a0a4-839d432547f2	1
103	4a717054-924f-4d59-9d4e-7b2329432082	4
104	4a95fd24-01f5-42a6-a455-63a3b1d1e060	0
105	4b466337-8a1f-40a1-aa47-2ecc50dc3e3a	5
106	4c382aa9-32e7-412b-a750-f2256a44558d	0
107	4d16caa0-22fc-416d-a3c7-523ac7686072	0
108	503b25ae-b8c2-4a74-9b53-6a6461476b37	0
109	50c5d8c0-d697-4c27-b955-94878e2ebfdd	5
110	51a1f0b8-cc2a-41d8-8413-d27a06d44be6	1
111	5292a474-64d3-48d4-a6e3-ee604a0d0361	0
112	52a943f1-2525-4aa0-bee4-4c524758bb35	2
113	54f274f6-3c3a-401b-9797-2dc43a043502	0
114	55c024bd-2dd6-4922-ae2e-68762c27f787	0
115	565e5ef4-d8a9-4593-9bb3-daade6f9b065	0
116	587dcbf3-3f65-491f-a3d9-c62b3d06b779	0
117	589d952c-9a5b-48f9-a360-b3a11feb13bb	0
118	59a4c47e-c2ec-4b3c-ad49-db2c36d06227	0
119	59f2fb15-4a6a-4c5a-bed0-d558db834254	0
120	5afa4cf1-129f-4f79-bea5-19a85ed306b4	6
121	5b27e01a-35f9-430b-add6-60280eba780e	2
122	5b797f58-1d16-40bd-bed1-495720114c91	3
123	5be242fa-513f-4432-9240-188bcc4633db	3
124	5f02fa06-b2b1-44e9-a929-0f0ae452920f	0
125	5f386501-ff9e-4f4a-bffc-fcab8db03839	1
126	5f6ccf69-5343-4d0e-bed1-a006c5fc2e43	0
127	5fb2c09f-0478-48e3-aa8e-99bf309c7d6e	3
128	5fc7a275-1e77-4c5d-85a6-e213827aca60	0
129	63fc5aa4-5c91-426d-868c-1a9159e13b10	2
130	646e8937-86e8-4fb3-b6d7-9a4fc40e713f	2
131	64dbcc9e-d9f1-4589-b408-669707df6955	3
132	6560aacb-6ecc-4f10-b4e4-158618323042	0
133	663ad016-de90-4619-98d6-51c677139ed5	2
134	664880f7-63b1-4f9e-8418-b6b6faf94be9	0
135	6704df88-af53-4d17-8851-ad0e963244bd	0
136	6760e233-a4fe-48d8-9cc6-56860bc0cd13	0
137	682c66ae-45e4-486f-9ffb-6bdc2ab4a56e	0
138	68998121-1fc8-4b45-afb8-f0451ff91655	1
139	68c75d31-557e-4589-a9f1-23c6135c33e4	0
140	69a7a524-c48e-42d6-8cc9-3a58e9543ed6	1
141	6a231a35-6aed-4030-a2f9-e04c9e823d81	0
142	6a311a6d-9574-4201-bf7b-0ab5e37f80c7	0
143	6b7493ff-88a5-48b9-839b-b4742432806b	8
144	6b972a5b-692b-4d3a-a981-7245e8c04470	0
145	6c23b5d1-871c-445c-8edc-f9a922b7fca3	5
146	6d3bb561-9877-43e3-8e20-635360a6217a	0
147	6e5c267f-6999-4c3b-a159-be002787868c	0
148	6e834c99-55cf-4ece-8596-76016185d304	9
149	6e9811f1-3970-4d0d-91b4-8b0263ce7020	0
150	6ed84d9a-7273-4c88-9656-4a072fc832d1	1
151	6f55590f-0e6a-4474-9cfd-eb8a153d17a5	0
152	703cfc7a-7bb0-4a24-9d0f-7a05ee516289	0
153	70a60e5d-49fb-4aaf-978f-f48d7f1b348c	0
154	71bcf646-8141-4579-8549-fba6949fe912	3
